Brand,Device,Manufacturer,Model Name,RAM (TotalMem),Form Factor,System on Chip,GPU,Screen Sizes,Screen Densities,ABIs,Android SDK Versions,OpenGL ES Versions
Panasonic,SW3_ATV,Panasonic,GX655,1251MB,TV,Mediatek MT5597,ARM Mali 450 (492 MHz),1080x1920,320,armeabi;armeabi-v7a,28,2.0
Panasonic,SW4H,Panasonic,4KTV-0SU,1766MB,TV,Mediatek t32,ARM Mali G52 (550 MHz),1080x1920,320,armeabi;armeabi-v7a,29,3.2
Panasonic,SW4H_FF,Panasonic,4KTV-0SUF,1766MB,TV,Mediatek t32,ARM Mali G52 (550 MHz),1080x1920,320,armeabi;armeabi-v7a,29,3.2
Panasonic,kadoma,Panasonic,POE-SMB400-PS1,1948MB,TV,HiSilicon hi3798cv200,ARM Mali T720 (675 MHz),1080x1920,320,armeabi;armeabi-v7a,26,3.1
Panasonic,shibuya,Panasonic,GS655,947MB,TV,MStar T16,ARM Mali 470 (550 MHz),720x1280,213,armeabi;armeabi-v7a,28,2.0
Panodic,IPHDCK16H,Panodic,IPHDCK16H,1950MB,TV,HiSilicon hi3798mv200,ARM Mali 450 (750 MHz),1080x1920,320,armeabi;armeabi-v7a,26,2.0
Partner,Batman,Partner,S70PCI,1513MB,TV,Marvell BG4-CT,Unknown,1080x1920,320,armeabi;armeabi-v7a,28,3.2
PerseoTV,DV8219,Perseo TV,Perseo TV Home 2nd Generation Ranger,2104MB,TV,Amlogic AMLS905X,3x ARM Mali 450 (750 MHz),1080x1920,320,armeabi;armeabi-v7a,28,2.0
Philco,ikebukuro,Philco,PTV40G71AGBL-VA,951MB,TV,MStar T16,ARM Mali 470 (550 MHz),720x1280,213,armeabi;armeabi-v7a,28,2.0
PHILCO,ikebukuro,Philco,Android TV,951MB,TV,MStar T16,ARM Mali 470 (550 MHz),720x1280,213,armeabi;armeabi-v7a,28,2.0
Philco,shinjuku,Philco,PhilcoTV,951MB,TV,MStar T16,ARM Mali 470 (550 MHz),720x1280,213,armeabi;armeabi-v7a,28,2.0
Philco,sindorim,Philco,PTV55G71AGBLS-4K-VA,1402MB,TV,MStar T22,ARM Mali 470 (550 MHz),1080x1920,320,armeabi;armeabi-v7a,28,2.0
PHILIPS,GMP,Philips,NeoViu D1,2086MB,TV,Amlogic AMLS905Y2,2x ARM Mali G31 (850 MHz),1080x1920,320,armeabi;armeabi-v7a,29,3.2
PHILIPS,MT5593Uplus,Philips,4K Razor Slim LED TV powered by Android TV™,1399MB,TV,Mediatek MT5595,Unknown,1080x1920,320,armeabi;armeabi-v7a,26,3.1
Philips,PH0M_EA_T32,Philips,Philips Android TV,1412MB,TV,Mediatek t32,ARM Mali G52 (550 MHz),1080x1920,320,armeabi;armeabi-v7a,29,3.2
Philips,PH1M_EA_9970A,Philips,Philips Android TV,2865MB,TV,Mediatek t30,2x ARM Mali G52 (800 MHz),1080x1920,320,armeabi;armeabi-v7a,29;30,3.2
Philips,PH7M_EU_5596,Philips,4K LED TV powered by Android,1955MB,TV,Mediatek MT5596,Unknown,1080x1920,320,armeabi;armeabi-v7a,26,3.2
Philips,PH7M_LT_5596,Philips,4K OLED TV powered by Android,1959MB,TV,Mediatek MT5596,Unknown,1080x1920,320,armeabi;armeabi-v7a,26,3.2
Philips,PH8M_HE_5596,Philips,Mediasuite,1966MB,TV,Mediatek MT5596,Unknown,1080x1920,320,armeabi;armeabi-v7a,28,3.2
Philips,PH9M_EA_5599,Philips,Philips Android TV,2048MB,TV,Mediatek MT5599,3x ARM Mali G51 (700 MHz),1080x1920,320,armeabi;armeabi-v7a,28,3.2
PHILIPS,QM16XE_F,Philips,FHD Ultra Slim LED TV Powered by Android,1639MB,TV,Mediatek MT5595,Unknown,720x1280,213,armeabi;armeabi-v7a,25,2.0
PHILIPS,QM16XE_U,Philips,4K Ultra Slim LED TV powered by Android,1408MB,TV,Mediatek MT5595,Unknown,1080x1920,320,armeabi;armeabi-v7a,26,3.1
PHILIPS,QM16XE_UB,Philips,4K Razor Slim OLED TV powered by Android TV,1408MB,TV,Mediatek MT5595,Unknown,1080x1920,320,armeabi;armeabi-v7a,26,3.1
PHILIPS,QV151E,Philips,4K UHD Razor Slim LED TV powered by Android™,987MB,TV,Marvell BG2Q4K,Unknown,1080x1920,320,armeabi;armeabi-v7a,22,3.0
Funai,cocina,Philips,PHILIPS TV,1921MB,TV,MStar T12,ARM Mali T820 (550 MHz),1080x1920,320,arm64-v8a;armeabi;armeabi-v7a,26,3.2
Funai,freesia,Philips,Philips SmartTV,1920MB,TV,MStar T12,ARM Mali T820 (550 MHz),1080x1920,320,arm64-v8a;armeabi;armeabi-v7a,28,3.2
Philips,gotanda,Philips,2K Android TV,951MB,TV,MStar T16,ARM Mali 470 (550 MHz),720x1280,213,armeabi;armeabi-v7a,28,2.0
Philips,guui,Philips,Smart TV,1931MB,TV,MStar T22,ARM Mali 470 (550 MHz),1080x1920,320,armeabi;armeabi-v7a,28,2.0
Philips,hino,Philips,Smart TV,952MB,TV,MStar T16,ARM Mali 470 (550 MHz),720x1280,213,armeabi;armeabi-v7a,28,2.0
PHILIPS,philips_MT5593FHT_EU,Philips,4K & Full HD Slim LED TV powered by Android™,1142MB,TV,Mediatek MT5595,Unknown,720x1280,213,armeabi;armeabi-v7a,22,2.0
PHILIPS,philips_MT5593HT_LT,Philips,4K & Full HD Slim LED TV powered by Android™,1128MB,TV,Mediatek MT5595,Unknown,720x1280,213,armeabi;armeabi-v7a,22,2.0
Philips,sindap,Philips,Smart TV,1402MB,TV,MStar T22,ARM Mali 470 (550 MHz),1080x1920,320,armeabi;armeabi-v7a,28,2.0
Philips,takao,Philips,2K Android TV,951MB,TV,MStar T16,ARM Mali 470 (550 MHz),720x1280,213,armeabi;armeabi-v7a,28,2.0
PIONEER,R2,Pioneer,Android TV,2147MB,TV,Realtek RTD2851,3x ARM Mali 470 (600 MHz),1080x1920,320,armeabi;armeabi-v7a,28,2.0
Pioneer_Digital_TV,DV8535-KIP,Pioneer_Digital_TV,PD_DV_8535,2087MB,TV,Amlogic AMLS905X2,2x ARM Mali G31 (850 MHz),1080x1920,320,armeabi;armeabi-v7a,29,3.2
KaonMedia,KSTB5043,Pixela,KSTB5043,1863MB,TV,Amlogic AMLS905D,3x ARM Mali 450 (750 MHz),1080x1920,320,armeabi;armeabi-v7a,24,2.0
Pixela,kyobashi,Pixela,PIX_VP100,3811MB,TV,HiSilicon hi3798mv200,ARM Mali 450 (750 MHz),1080x1920,320,armeabi;armeabi-v7a,26,3.1
Pixela,tennouji,Pixela,PIX-SMB400,1948MB,TV,HiSilicon hi3798cv200,ARM Mali T720 (675 MHz),1080x1920,320,armeabi;armeabi-v7a,26,3.1
PLAY,DV8545-PLAY,PlayPoland,PLAY NOW TV BOX 2,2086MB,TV,Amlogic AMLS905X2,2x ARM Mali G31 (850 MHz),1080x1920,320,armeabi;armeabi-v7a,28,3.2
PLAY,DV8945-KPP,PlayPoland,PLAY NOW TV BOX 3,2086MB,TV,Amlogic AMLS905X4,2x ARM Mali G31 (850 MHz),1080x1920,320,armeabi;armeabi-v7a,29,3.2
PLAY,dctiw362p,PlayPoland,play_dctiw362 ,1494MB,TV,Broadcom BCM72604,Unknown,1080x1920,320,armeabi;armeabi-v7a,28,3.1
